,user,time,isOutlier,randX,popoutColor,randY,backgroundColor,selection,__collections__
7shYUAyqklZs9hHFftVC,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886795, '_nanoseconds': 997000000}}",false,159.58171529906235,147,233.768995980554,172,True,{}
7zsxZrhfmLQ5vjpo57AW,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886747, '_nanoseconds': 957000000}}",false,289.0606156077493,169,1022.5419645605859,135,True,{}
80jrZx9qbJDnXgLS4RcE,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581885595, '_nanoseconds': 883000000}}",false,37.75948484575512,137,797.1140153813994,127,False,{}
8FuuaVkAgfvycJKHX10Z,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886584, '_nanoseconds': 216000000}}",true,1357.7721848027806,178,174.73357426954163,148,True,{}
8NrXIhgxqyCqjvYs7wvL,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886631, '_nanoseconds': 244000000}}",true,404.41814118407905,178,87.6201718233834,172,True,{}
8QFvUL8SncSE6swDFslg,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886607, '_nanoseconds': 532000000}}",false,390.9107858285243,155,1185.7080875597667,179,True,{}
8b6CFOLORneUmqrKopLz,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886640, '_nanoseconds': 304000000}}",false,564.1965705620123,162,779.3210055232493,168,True,{}
8dCBWpYQLva81Mn8dRc1,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886672, '_nanoseconds': 230000000}}",true,574.1811154028966,153,873.6166107101325,166,True,{}
8eH6zFj5Wo1GzuPicbur,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886636, '_nanoseconds': 501000000}}",true,898.5670584356559,148,127.63024392642558,139,False,{}
8sVW7SglGaJRSGWkkKfj,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886109, '_nanoseconds': 428000000}}",true,271.9432750292205,141,225.8775142842425,129,True,{}
8smy2VsTsao0ICL8wjcV,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886579, '_nanoseconds': 150000000}}",true,451.57610803684156,160,449.73256940878827,168,False,{}
91tEoxY5BI67uzQoFEY0,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886592, '_nanoseconds': 568000000}}",true,37.175952820142314,133,429.8669000909951,141,False,{}
94Pv6B5YsLJyX1NN0TXw,1,,,,,,,,{}
9DVyR5whvBRTxuAyWkZh,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886786, '_nanoseconds': 609000000}}",false,862.2114536936301,146,1377.4092310417163,158,False,{}
9EFQjnqOYMOVgOzuXDdz,ZnQloMgMlAVvoamFWsEz,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886555, '_nanoseconds': 409000000}}",false,828.8331188708905,138,320.5468555010664,167,True,{}
9EGpWf3alc5Kq6dAC8EA,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886625, '_nanoseconds': 258000000}}",true,206.7172856218244,144,1004.620319722952,132,False,{}
9GlblWxd3dpRE3x3n2CF,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886670, '_nanoseconds': 790000000}}",false,908.9673468224256,167,604.43807458103,177,True,{}
9MNMT3I8mYZlSG7CEy5I,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886647, '_nanoseconds': 321000000}}",false,637.9888148377862,122,815.4174019930437,146,False,{}
9NX4C4AIN7rXIj8WlfoA,tsSfdnCH1lwVMbb1JehO,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581954276, '_nanoseconds': 338000000}}",false,1015.9913019804077,147,48.23404184213811,131,False,{}
9UXOdqIAPv9acthf1Atm,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886787, '_nanoseconds': 632000000}}",false,498.17395273430793,152,605.1557285623294,167,True,{}
9aLmSIEvxmxU7J3ppF9d,N9zhdB4dFq6g993Lu7gm,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581889736, '_nanoseconds': 245000000}}",false,152.14197732645897,146,1109.2493439926986,122,False,{}
9wyntZ6v7dfL07nvwOkD,RLD6KfHu20FcDpAmHLTk,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886764, '_nanoseconds': 715000000}}",false,637.3885232510714,150,227.6186218118316,139,False,{}
A2RiZuYoME34SXP9V0K9,1,,,,,,,,{}
AD6wrKs8xfHc0lqM2P1M,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886722, '_nanoseconds': 679000000}}",false,16.233352058399877,142,977.2204578927494,173,True,{}
AEbLvVMMIqr3TeFxZDDZ,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886419, '_nanoseconds': 326000000}}",false,1090.5799930397902,169,231.03533458973425,139,True,{}
AXjAkRkAoBBE9EqTOB5E,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886598, '_nanoseconds': 857000000}}",true,858.05859065053,155,93.68924296848918,151,False,{}
AXu1OqFLC3FP2nFdLlib,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952259, '_nanoseconds': 662000000}}",false,34.18747424628836,127,157.90088834041975,138,False,{}
AYTZWPLnotNmcrkbWfAB,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886112, '_nanoseconds': 225000000}}",false,262.2815669558486,149,59.2406179562541,163,False,{}
